    ID |    NAME       |  RA   |  DEC  |  MAJOR_DIAMETER | TYPE | SPECTRAL_INDEX|  ALT_NAMES         |       CLASS     | DUMMY
    237|SNR G055.0+00.3|293.000| 19.833|          20.0|S   |          0.50|                          |        SNR SHELL|
    238|SNR G055.7+03.4|290.333| 21.733|          23.0|S   |          0.30|                          |        SNR SHELL|
    239|SNR G057.2+00.8|293.746| 21.950|          12.0|S?  |          0.62|(4C21.53)                 |        SNR SHELL|
    240|SNR G184.6-05.8| 83.629| 22.017|           7.0|F   |          0.30|CRAB NEBULA, 3C144, SN1054|SNR FILLED-CENTER|
    241|SNR G189.1+03.0| 94.250| 22.567|          45.0|C   |          0.36|IC443, 3C157              |    SNR COMPOSITE|
    242|SNR G059.5+00.1|295.637| 23.583|          15.0|S   |              |                          |        SNR SHELL|
    243|SNR G059.8+01.2|294.729| 24.317|          20.0|?   |          0.00|                          |              SNR|
    244|SNR G063.7+01.1|296.967| 27.750|           8.0|F   |          0.24|                          |SNR FILLED-CENTER|
    245|SNR G180.0-01.7| 84.750| 27.833|         180.0|S   |              |S147                      |        SNR SHELL|
    246|SNR G178.2-04.2| 83.771| 28.183|          72.0|S   |          0.50|                          |        SNR SHELL|
    247|SNR G064.5+00.9|297.604| 28.267|           8.0|S?  |          0.50|                          |        SNR SHELL|
    248|SNR G065.1+00.6|298.667| 28.583|          90.0|S   |          0.61|                          |        SNR SHELL|
    249|SNR G065.8-00.5|299.833| 28.633|          10.0|S   |              |                          |        SNR SHELL|
    250|SNR G182.4+04.3| 92.042| 29.000|          50.0|S   |          0.40|                          |        SNR SHELL|
    251|SNR G066.0-00.0|299.458| 29.050|          31.0|S   |              |                          |        SNR SHELL|
    252|SNR G065.7+01.2|298.042| 29.433|          22.0|F   |              |DA 495                    |SNR FILLED-CENTER|
    253|SNR G068.6-01.2|302.167| 30.617|          23.0|?   |          0.20|                          |              SNR|
    254|SNR G074.0-08.5|312.750| 30.667|         230.0|S   |              |CYGNUS LOOP               |        SNR SHELL|
    255|SNR G067.8+00.5|300.000| 30.850|           7.0|?   |              |                          |              SNR|
    256|SNR G067.6+00.9|299.438| 30.883|          50.0|S   |              |                          |        SNR SHELL|
    257|SNR G179.0+02.6| 88.417| 31.083|          70.0|S?  |          0.40|                          |        SNR SHELL|
    258|SNR G065.3+05.7|293.250| 31.167|         310.0|S?  |          0.60|                          |        SNR SHELL|
    259|SNR G067.7+01.8|298.633| 31.483|          15.0|S   |          0.61|                          |        SNR SHELL|
    260|SNR G069.7+01.0|300.667| 32.717|          16.0|S   |          0.70|                          |        SNR SHELL|
    261|SNR G069.0+02.7|298.333| 32.917|          80.0|?   |              |CTB 80                    |              SNR|
    262|SNR G073.9+00.9|303.562| 36.200|          27.0|S?  |          0.23|                          |        SNR SHELL|
    263|SNR G074.9+01.2|304.008| 37.200|           8.0|F   |              |CTB 87                    |SNR FILLED-CENTER|
    264|SNR G076.9+01.0|305.583| 38.717|           9.0|C   |              |                          |    SNR COMPOSITE|
    265|SNR G078.2+02.1|305.208| 40.433|          60.0|S   |          0.51|DR4, GAMMA CYGNI SNR      |        SNR SHELL|
    266|SNR G083.0-00.3|311.729| 42.867|           9.0|S   |          0.40|                          |        SNR SHELL|
    267|SNR G166.0+04.3| 81.625| 42.933|          55.0|S   |          0.37|VRO 42.05.01              |        SNR SHELL|
    268|SNR G084.2-00.8|313.333| 43.450|          20.0|S   |          0.50|                          |        SNR SHELL|
