    ID |    NAME       |  RA   |  DEC  |  MAJOR_DIAMETER | TYPE | SPECTRAL_INDEX|  ALT_NAMES         |       CLASS     | DUMMY
    137|SNR G006.1+01.2|268.729|-23.083|          30.0|F   |          0.30|                          |SNR FILLED-CENTER|
    138|SNR G007.0-00.1|270.458|-22.900|          15.0|S   |          0.50|                          |        SNR SHELL|
    139|SNR G007.2+00.2|270.279|-22.633|          12.0|S   |          0.60|                          |        SNR SHELL|
    140|SNR G005.9+03.1|266.833|-22.267|          20.0|S   |          0.40|                          |        SNR SHELL|
    141|SNR G008.3-00.0|271.142|-21.817|           5.0|S   |          0.60|                          |        SNR SHELL|
    142|SNR G004.8+06.2|263.354|-21.567|          18.0|S   |          0.60|                          |        SNR SHELL|
    143|SNR G004.5+06.8|262.675|-21.483|           3.0|S   |          0.64|KEPLER, SN1604, 3C358     |        SNR SHELL|
    144|SNR G008.7-00.1|271.375|-21.433|          45.0|S?  |          0.50|(W30)                     |        SNR SHELL|
    145|SNR G006.4+04.0|266.292|-21.367|          31.0|S   |          0.40|                          |        SNR SHELL|
    146|SNR G008.9+00.4|270.992|-21.050|          24.0|S   |          0.60|                          |        SNR SHELL|
    147|SNR G009.9-00.8|272.671|-20.717|          12.0|S   |          0.40|                          |        SNR SHELL|
    148|SNR G009.7-00.0|271.842|-20.583|          15.0|S   |          0.60|                          |        SNR SHELL|
    149|SNR G009.8+00.6|271.283|-20.233|          12.0|S   |          0.50|                          |        SNR SHELL|
    150|SNR G010.5-00.0|272.283|-19.783|           6.0|S   |          0.60|                          |        SNR SHELL|
    151|SNR G011.1-01.0|273.512|-19.767|          18.0|S   |          0.50|                          |        SNR SHELL|
    152|SNR G011.1-00.7|273.192|-19.633|          11.0|S   |          0.70|                          |        SNR SHELL|
    153|SNR G011.0-00.0|272.517|-19.417|          11.0|S   |          0.60|                          |        SNR SHELL|
    154|SNR G011.2-00.3|272.863|-19.417|           4.0|C   |          0.50|                          |    SNR COMPOSITE|
    155|SNR G011.1+00.1|272.446|-19.200|          12.0|S   |          0.40|                          |        SNR SHELL|
    156|SNR G011.4-00.1|272.696|-19.083|           8.0|S?  |          0.50|                          |        SNR SHELL|
    157|SNR G011.8-00.2|273.104|-18.733|           4.0|S   |          0.30|                          |        SNR SHELL|
    158|SNR G012.0-00.1|273.046|-18.617|           7.0|?   |          0.70|                          |              SNR|
    159|SNR G012.2+00.3|272.821|-18.167|           6.0|S   |          0.70|                          |        SNR SHELL|
    160|SNR G013.3-01.3|274.833|-18.000|          70.0|S?  |              |                          |        SNR SHELL|
    161|SNR G012.5+00.2|273.058|-17.917|           6.0|C?  |          0.40|                          |    SNR COMPOSITE|
    162|SNR G012.7-00.0|273.329|-17.900|           6.0|S   |          0.80|                          |        SNR SHELL|
    163|SNR G012.8-00.0|273.404|-17.817|           3.0|C?  |          0.50|                          |    SNR COMPOSITE|
    164|SNR G013.5+00.2|273.558|-17.200|           5.0|S   |          1.00|                          |        SNR SHELL|
    165|SNR G014.1-00.1|274.167|-16.683|           6.0|S   |          0.60|                          |        SNR SHELL|
    166|SNR G015.1-01.6|276.000|-16.567|          30.0|S?  |          0.00|                          |        SNR SHELL|
    167|SNR G014.3+00.1|273.992|-16.450|           5.0|S   |          0.40|                          |        SNR SHELL|
    168|SNR G016.2-02.7|277.417|-16.133|          17.0|S   |          0.40|                          |        SNR SHELL|
    169|SNR G015.4+00.1|274.508|-15.450|          15.0|S   |          0.62|                          |        SNR SHELL|
    170|SNR G016.0-00.5|275.483|-15.233|          15.0|S   |          0.60|                          |        SNR SHELL|
    171|SNR G015.9+00.2|274.717|-15.033|           7.0|S?  |          0.63|                          |        SNR SHELL|
    172|SNR G016.4-00.5|275.658|-14.917|          13.0|S   |          0.30|                          |        SNR SHELL|
    173|SNR G017.4-02.3|277.729|-14.867|          24.0|S   |          0.50|                          |        SNR SHELL|
    174|SNR G017.8-02.6|278.208|-14.650|          24.0|S   |          0.50|                          |        SNR SHELL|
    175|SNR G016.7+00.1|275.233|-14.333|           4.0|C   |          0.60|                          |    SNR COMPOSITE|
    176|SNR G017.0-00.0|275.488|-14.133|           5.0|S   |          0.50|                          |        SNR SHELL|
    177|SNR G017.4-00.1|275.783|-13.767|           6.0|S   |          0.70|                          |        SNR SHELL|
